,FilePos,DetectionMode,LE,Dwell,SSNR,SNR_Joy,Mode
67,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_10000ns_004.tif,BSD,1.5,10000.0,3.836930590458979,3.679499486664151,HR
68,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_10000ns_005.tif,BSD,1.5,10000.0,0.9533583856496772,0.8629832729102903,HR
69,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD\BSE_1.5kV_10000ns_006.tif,BSD,1.5,10000.0,1.9918665722934281,1.832042564966167,HR
244,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_10000ns_.tif,BSD,1.5,10000.0,1.3439670601636753,1.0307316675772635,UHR
245,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_10000ns_001.tif,BSD,1.5,10000.0,1.5754197758366302,1.421049919529892,UHR
246,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_10000ns_002.tif,BSD,1.5,10000.0,1.033345211715853,0.9841912403928577,UHR
247,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_10000ns_003.tif,BSD,1.5,10000.0,1.2897400937357653,1.196464280429625,UHR
248,..\data\3_SNR-comparison-detectors\SNR-final-combined\UHR\BSD\BSD_1.5kV_10000ns_004.tif,BSD,1.5,10000.0,1.1001539748823372,1.0835126582001633,UHR
125,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD-SB\BSE-SB_1.5kV_100ns_001.tif,BSD-SB,1.5,100.0,-0.007549532034000717,0.011169061064093676,HR
126,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\BSD-SB\BSE-SB_1.5kV_100ns_002.tif,BSD-SB,1.5,100.0,0.005512589325738282,0.02701311756138854,HR
